ABBR	ABBRS	Abbreviation	ABBREVIATION	Abbbreviations	ABBBREVIATIONS
ASM	ASMS	Assumption	ASSUMPTION	Assumptions	ASSUMPTIONS
CONJ	CONJS	Conjecture	CONJECTURE	Conjectures	CONJECTURES
CONV	CONVS	Convention	CONVENTION	Conventions	CONVENTIONS
COR	CORS	Corollary	COROLLARY	Corollaries	COROLLARIES
DEF	DEFS	Definition	DEFINITION	Definitions	DEFINITIONS
EX	EXS	Example	EXAMPLE	Examples	EXAMPLES
FCT	FCTS	Fact	FACT	Facts	FACTS
LMA	LMAS	Lemma	LEMMA	Lemmas	LEMMAS
NTN	NTNS	Notation	NOTATION	Notations	NOTATIONS
PRF	PRFS	Proof	PROOF	Proofs	PROOFS
PRP	PRPS	Proposition	PROPOSITION	Propositions	PROPOSITIONS
QTN	QTNS	Quotation	QUOTATION	Quotations	QUOTATIONS
RMK	RMKS	Remark	REMARK	Remarks	REMARKS
THM	THMS	Theorem	THEOREM	Theorems	THEOREMS
TMY		Terminology	TERMINOLOGY		
